site_id,action,eval_fiscal_year,fy_start,fy_end,count
358930,enf_action,2016 / 2017,2016,2017,1
358930,enf_action,2017 / 2018,2017,2018,1
358930,inspection,2015 / 2016,2015,2016,3
358930,inspection,2016 / 2017,2016,2017,3
358930,inspection,2017 / 2018,2017,2018,3
358930,inspection,2018 / 2019,2018,2019,2
358930,inspection,2019 / 2020,2019,2020,3
358930,violation,2015 / 2016,2015,2016,16
358930,violation,2016 / 2017,2016,2017,7
358930,violation,2017 / 2018,2017,2018,12
358930,violation,2018 / 2019,2018,2019,8
358930,violation,2019 / 2020,2019,2020,17
358944,inspection,2015 / 2016,2015,2016,1
358944,inspection,2018 / 2019,2018,2019,2
358944,violation,2015 / 2016,2015,2016,3
358944,violation,2018 / 2019,2018,2019,5
358957,inspection,2019 / 2020,2019,2020,1
359026,inspection,2018 / 2019,2018,2019,2
359026,violation,2018 / 2019,2018,2019,2
359070,inspection,2017 / 2018,2017,2018,2
359070,inspection,2019 / 2020,2019,2020,2
359070,violation,2017 / 2018,2017,2018,1
359085,enf_action,2015 / 2016,2015,2016,1
359085,inspection,2015 / 2016,2015,2016,1
359085,inspection,2018 / 2019,2018,2019,2
359085,violation,2015 / 2016,2015,2016,1
359085,violation,2018 / 2019,2018,2019,2
359090,inspection,2013 / 2014,2013,2014,2
359090,inspection,2014 / 2015,2014,2015,8
359090,inspection,2015 / 2016,2015,2016,1
359090,inspection,2016 / 2017,2016,2017,1
359090,inspection,2017 / 2018,2017,2018,4
359090,inspection,2018 / 2019,2018,2019,3
359090,inspection,2019 / 2020,2019,2020,3
359090,violation,2014 / 2015,2014,2015,12
359090,violation,2015 / 2016,2015,2016,3
359090,violation,2016 / 2017,2016,2017,2
359090,violation,2017 / 2018,2017,2018,6
359090,violation,2018 / 2019,2018,2019,3
359090,violation,2019 / 2020,2019,2020,4
359122,inspection,2017 / 2018,2017,2018,2
359122,violation,2017 / 2018,2017,2018,4
359125,inspection,2013 / 2014,2013,2014,1
359125,inspection,2016 / 2017,2016,2017,3
359125,inspection,2019 / 2020,2019,2020,4
359125,violation,2016 / 2017,2016,2017,4
359125,violation,2019 / 2020,2019,2020,2
359189,inspection,2015 / 2016,2015,2016,2
359189,inspection,2018 / 2019,2018,2019,1
359189,violation,2015 / 2016,2015,2016,1
359189,violation,2018 / 2019,2018,2019,1
359223,enf_action,2015 / 2016,2015,2016,1
359223,inspection,2015 / 2016,2015,2016,2
359223,inspection,2016 / 2017,2016,2017,2
359223,inspection,2019 / 2020,2019,2020,2
359223,violation,2015 / 2016,2015,2016,4
359223,violation,2016 / 2017,2016,2017,3
359223,violation,2019 / 2020,2019,2020,2
359234,inspection,2015 / 2016,2015,2016,2
359234,inspection,2018 / 2019,2018,2019,2
359234,violation,2018 / 2019,2018,2019,6
359340,inspection,2018 / 2019,2018,2019,2
359340,inspection,2019 / 2020,2019,2020,2
359340,violation,2018 / 2019,2018,2019,2
359364,inspection,2015 / 2016,2015,2016,3
359364,inspection,2019 / 2020,2019,2020,2
359364,violation,2019 / 2020,2019,2020,1
359372,inspection,2018 / 2019,2018,2019,4
359372,inspection,2019 / 2020,2019,2020,2
